id_medicamento,ium,principio_activo,nombre_comercial,forma_farmaceutica,concentracion,unidad_medida,presentacion_comercial,es_combinado
184,1A1061031000100,AMILO NITRITO,TROIKAA,SOLUCION NASAL,0.98,ML/ML,CAJAS X 12 CARTUCHOS X 0.3 ML,0
185,1A1061881001100,EXTRACTO ALERGENICO BLATELLA GERMANICA 100%,EH RETARD,SUSPENSION INYECTABLE,500,MCG/ML,ESTUCHES X 2 VIALES,0
186,1A1062581000100,EXTRACTO ALERGENICO GRUPO CUCARACHA 100%,EH RETARD,SUSPENSION INYECTABLE,57,ΜG PROT. / ML,ESTUCHES X 2 VIALES,0
187,1A1062591000100,EXTRACTO ALERGENICO HORMIGA 100%,EH RETARD,SUSPENSION INYECTABLE,25,ΜG PROT. / ML,ESTUCHES X 2 VIALES,0
188,1A1062591000101,HORMIGA 100%,EH RETARD,SUSPENSION INYECTABLE,25,ΜG PROT. / ML,ESTUCHE X 2 VIALES,0
189,1A1062931000100,AMIVANTAMAB,RYBREVANT,SOLUCION INYECTABLE,50,MG/ML,CAJAS X UN (1) VIAL DE 7ML,0
190,1A1063761000100,LEPIDOGLYPHUS D 100%,DEPIGOID,SUSPENSION INYECTABLE,100,DDP/ML,ESTUCHES X 2 VIALES,0
191,1A1063791000100,CUPRESSUS ARIZ 100%,DEPIGOID,SUSPENSION INYECTABLE,1000,DDP/ML,ESTUCHES X 2 VIALES,0
192,1A1064381000100,MOSQUITO 100%,EH RETARD,SUSPENSION INYECTABLE,45,ΜG PROT. / ML,ESTUCHE X 2 VIALES,0
193,1B1000571001100,BUSULFAN,BUSILVEX,SOLUCION INYECTABLE,6,MG/ML,CAJAS X 8 VIALES,0
194,1B1000571003100,BUSULFAN,BUCELON 60,SOLUCION INYECTABLE,6,MG/ML,VIALES X 10 ML,0
195,1B1000571004100,BUSULFAN,NO REPORTADO,SOLUCION INYECTABLE,6,MG/ML,CAJAS X 1 VIAL X 10 ML,0
196,1B1000571005100,BUSULFAN,KABISULFAN,SOLUCION INYECTABLE,6,MG/ML,VIAL X 10 ML,0
197,1B1000571007100,BUSULFAN,BUSULOMA,SOLUCION INYECTABLE,6,MG/ML,CAJAS CON 1 VIAL,0
198,1B1000571008101,BUSULFAN,BUSULFAN VARIFARMA,SOLUCION INYECTABLE,6,MG/ML,CAJAS X 8 AMPOLLAS,0
199,1B1000571010100,BUSULFAN,NO REPORTADO,SOLUCION INYECTABLE,6,MG/ML,CAJAS X 1 VIAL,0
200,1B1000571011100,BUSULFANO,EMCURE,SOLUCION INYECTABLE,6,MG/ML,CAJAS X 1 VIAL X 10 ML,0
201,1B1000571012100,BUSULFAN,BUSPHALAN,SOLUCION INYECTABLE,6,MG/ML,VIALES X 10 ML,0
202,1B1000571013100,BUSULFAN,NO REPORTADO,SOLUCION INYECTABLE,6,MG/ML,CAJAS X 1 VIAL X 10 ML,0
203,1B1001101000101,BETANECOL HCL,BETHANECHOL CHLORIDE,TABLETA,25,MG,FRASCOS X 100 TABLETAS,0
204,1B1001101001100,BETANECOL HCL,UROTONE,TABLETA,25,MG,CAJAS X 50 TABLETAS CADA UNA,0
205,1B1001101002100,BETANECOL,MYOCHOLINE -GLENWOOD,TABLETA,25,MG,CAJAS X 100 TABLETAS,0
206,1B1001101003100,BETANECOL HCL,AMNEAL,TABLETA,25,MG,FRASCO X 100 TABLETAS,0
207,1B1001101004100,BETANECOL,URIBEC,TABLETA,25,MG,CAJAS X 100 TABLETAS,0
208,1B1004631002100,BROMURO DE VECURONIO,CEVEC,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,10,MG,CAJAS X UN (1) VIAL,0
209,1B1004631003100,BROMURO DE VECURONIO,NO REPORTADO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,10,MG,CAJA X 1 VIAL,0
210,1B1004631006100,BROMURO DE VECURONIO,VECURONIO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,10,MG,CAJA X 1 VIAL,0
211,1B1004631008100,BROMURO DE VECURONIO,NO REPORTADO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION PARA PERFUSION,10,MG,CAJA X 1 VIAL,0
212,1B1006501000100,BEXAROTENO,TARGRETIN,CAPSULA,75,MG,FRASCO X 100 CAPSULAS,0
213,1B1010761000100,BIOTINA INSIPIDA CONCENTRADA,CYTO B7,SUSPENSION ORAL,5,MG/ML,FRASCO X 30ML,0
214,1B1012681000100,BENZOATO DE SODIO (SAL DEL ACIDO BENZOICO),NO REPORTADO,SOLUCION INYECTABLE,1,G/5ML,CAJAS X 10 VIALES DE 10 ML,0
215,1B1012911000102,BEDAQUILINA,SIRTURO,TABLETA,100,MG,CAJA X 24 TABLETAS,0
216,1B1013551001100,BUSULFAN,BUSLERA,SOLUCION INYECTABLE,6,MG/ML,CAJAS X 1 VIAL X 10 ML,0
217,1B1013911000101,BEDAQUILINA,NO REPORTADO,TABLETA,100,MG,FRASCOS X 24 TABLETAS,0
218,1B1013911000102,BEDAQUILINA,SIRTURO,TABLETA,100,MG,CAJAS X 24 TABLETAS,0
219,1B1013911001101,BEDAQUILINA,BEDAKIN,TABLETA,101,MG,CAJAS X 188 TABLETAS,0
220,1B1013911002100,BEDAQUILINA,NO REPORTADO,TABLETA,100,MG,CAJAS. CADA CAJA CON UN FRASCO POR 24 TABLETAS,0
221,1B1017611000100,BELINOSTAT,BELEODAQ,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,50,MG/ML,CAJA X 1 VIAL DE 10 ML,0
222,1B1018491001100,BROMURO DE VECURONIO,DOXCUROM,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,4,MG/ML,CAJA X 50 FRASCOS AMPOLLA + 50 AMPOLLETAS CON DILUENTE,0
223,1B1023441000100,BUSULFAN,MYLERAN,TABLETA,2,MG,CAJAS X 100 TABLETAS,0
224,1B1024501000100,BUPIVACAINA,NO REPORTADO,SOLUCION INYECTABLE,5,MG,NO REPORTADO,0
225,1B1024501001100,BUPIVACAINA,NO REPORTADO,SOLUCION INYECTABLE,5,MG/ML,AMPOLLA X 10 ML,0
226,1B1024501002100,BUPIVACAINA CLORHIDRATO,BUVACAINA,SOLUCION INYECTABLE,5,MG/ML,CAJA CON UNA (1) AMPOLLA DE 10 ML,0
227,1B1024501004100,BUPIVACAINA CLORHIDRATO,NO REPORTADO,SOLUCION INYECTABLE,5,MG/ML,PLEGADIZAS X 5 AMPOLLAS C/U DE 10ML,0
228,1B1024501005100,BUPIVACAINA CLORHIDRATO MONOHIDRATO,NO REPORTADO,SOLUCION INYECTABLE,5,MG/ML,CAJAS. CADA CAJA CON 10 VIALES DE VIDRIO X 20ML,0
229,1B1024501008100,BUPIVACAINA,NO REPORTADO,SOLUCION INYECTABLE,5,MG/ML,CAJAS X 5 AMPOLLAS X 10 ML,0
230,1B1024501009100,BUPIVACAINA,NO REPORTADO,SOLUCION INYECTABLE,5,MG/ML,CAJAS X 10 AMPOLLAS,0
231,1B1024741000100,BUPIVACAINA,BUVACAINA,SOLUCION INYECTABLE,7.5,MG/ML,CAJAS CON UNA (1) AMPOLLA POR 30 ML,0
232,1B1025731000100,BUROSUMAB,CRYSVITA,SOLUCION INYECTABLE,20,MG/ML,VIAL X 1ML,0
233,1B1025791000100,BUROSUMAB,CRYSVITA,SOLUCION INYECTABLE,10,MG/ML,VIAL X 1ML,0
234,1B1027161000100,BUROSUMAB,CRYSVITA,SOLUCION INYECTABLE,30,MG/ML,VIALES X 1ML,0
235,1B1027161000100 SOLICITUD 34729,BUROSUMAB,CRYSVITA,SOLUCION INYECTABLE,30,MG/ML,VIAL X 1ML,0
236,1B1027551000100,BACILLUS CALMETTE GUERIN,SII-ONCO-BCG,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,40,MG/U,CAJAS X 3 FRASCOS VIALES,1
237,1B1027551001100,BACILO CALMETTE-GUERIN,ONCO-BCG,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,40,MG/U,VIALES,1
238,1B1027551001101,BACILLUS CALMETTE GUERIN,ONCO BCG,POLVO LIOFILIZADO PARA RECONSTITUIR A SUSPENSION PARA INSTILACION VESICAL,40,MG/U,CAJAS X 10 VIALES,0
239,1B1033101000100,MYCOBACTERIUM BOVIS (BCG) DANISH STRAIN 1331,BACILLUS CALMETTE GUERIN (BCG CULTURE SSI),POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,30,MG,CAJAS X 4 VIALES,0
240,1B1033101001100,BACILLUS CALMETTE GUERIN,VESICULTURE,POLVO LIOFILIZADO PARA RECONSTITUIR A SUSPENSION PARA INSTILACION,30,MG,CAJA X 4 VIALES,0
241,1B1033111001100,BROMURO DE ROCURONIO,ESMERON,SOLUCION INYECTABLE,10,MG/ML,CAJAS X 10 VIALES C/U,0
242,1B1033111003100,BROMURO DE ROCURONIO,NO REPORTADO,SOLUCION INYECTABLE,10,MG/ML,CAJAS. CADA CAJA CON 10 VIALES DE 5ML,0
243,1B1033111004101,BROMURO DE ROCURONIO,NO REPORTADO,SOLUCION INYECTABLE,10,MG/ML,CAJAS X 50 VIALES X 5 ML,0
244,1B1033111004103,BROMURO DE ROCURONIO,NO REPORTADO,SOLUCION INYECTABLE,10,MG/ML,CAJAS. CADA CAJA CON 5 AMPOLLAS DE 5ML,0
245,1B1033111005100,BROMURO DE ROCURONIO,ROCUFINE,SOLUCION INYECTABLE,10,MG/ML,CAJA X 1 VIAL X 5ML,0
246,1B1033111007100,BROMURO DE ROCURONIO,LUFCUREN,SOLUCION INYECTABLE,10,MG/ML,CAJA X 12 VIALES DE 5 ML,0
247,1B1033581000100,BESILATO DE ATRACURIO,RELATRAC,SOLUCION INYECTABLE,10,MG/ML,CAJAS. CADA CAJA CON UNA (1) AMPOLLETA CON 2.5 ML,0
248,1B1033581002100,ATRACURIO BESILATO,NO REPORTADO,SOLUCION INYECTABLE,10,MG/ML,CAJAS POR 5 AMPOLLAS,0
249,1B1036801000100,BROMURO DE VECURONIO,NODESCRON,SOLUCION INYECTABLE,4,MG/ML,CAJA X 50 FRASCOS AMPOLLA + DILUENTE,0
250,1B1037961001100,BACILO CALMETTE-GUERIN,ONKO BCG 100,POLVO PARA RECONSTITUIR A SUSPENSION,100,MG/VIAL,CAJAS. CADA CAJA CON UNA (1) AMPOLLA Y SOLVENTE PARA RECONSTITUCIÓN,0
251,1B1038211000100,BIVALIRUDINA,THROMBITOR,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,250,MG/VIAL,CAJA X 1 VIAL,0
252,1B1046201000100,BEROTRALSTAT,ORLADEYO,CAPSULAS DE LIBERACION NO MODIFICADA,150,MG,CAJAS X 28 CÁPSULAS,0
253,1B1060621000100,BUDESONIDA,TARPEYO,CAPSULA,4,MG,FRASCOS X 120 CAPSULAS,0
254,1B1060621001102,BUDESONIDA,KINPEYGO,CAPSULA,4,MG,FRASCO X 120 CÁPSULAS,0
255,1C1000151000100,CIDOFOVIR,HERITAGE,SOLUCION INYECTABLE,75,MG/ML,CAJA X 1 VIAL,0
256,1C1000151001100,CIDOFOVIR,NO REPORTADO,SOLUCION INYECTABLE,375/5,MG/ML,CAJA PLEGADIZA X 1 VIAL,0
257,1C1000151002100,CIDOFOVIR,NO REPORTADO,SOLUCION INYECTABLE,75,MG/ML,CAJAS X 1 VIAL,0
258,1C1000151003100,CIDOFOVIR,KONSINA,SOLUCION INYECTABLE,75,MG/ML,CAJAS X 1 VIAL X 5ML,0
259,1C1000151004100,CIDOFOVIR,NO REPORTADO,SOLUCION INYECTABLE,75,MG/ML,CAJA X UN (1) VIAL,0
260,1C1000151005100,CIDOFOVIR,CIDNAVIR,SOLUCION INYECTABLE,75,MG/ML,CAJAS X 1 VIAL X 5ML,0
261,1C1001051000100,ASPARAGINASA ERWINIA,ERWINASE,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,10000,UI/ML,CAJA X 5 VIALES,0
262,1C1001051002100,ASPARAGINASA ERWINIA,HB DADANTII,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,10000,UI,CAJAS X UN (1) VIAL,0
263,1C1002871000100,CLOFAZIMINA,LAMPRENE,CAPSULA,100,MG,CAJA X 100 CAPSULAS,0
264,1C1002871001100,CLOFAZIMINA,CLOFZIMIN,CAPSULA,100,MG,CAJAS X 10 CÁPSULAS,0
265,1C1002871002100,CLOFAZIMINA,HANSEPRAN,CAPSULA,100,MG,CAJA X 24 CAPSULAS,0
266,1C1003541003100,CISATRACURIO,CITRALEX,SOLUCION INYECTABLE,2,MG/ML,CAJA X UNA AMPOLLA DE 10 MG/5ML,0
267,1C1003541005101,CISATRACURIO,NIMBEX,SOLUCION INYECTABLE,2,MG/ML,CAJA X 5 AMPOLLAS X 2.5 ML,0
268,1C1003541006100,CISATRACURIO BESILATO,BENSITRAK,SOLUCION INYECTABLE,2,MG/ML,"CAJA X 1 AMPOLLA DE 2,5 ML",0
269,1C1003541006101,BENSILATO DE CISATRACURIO,BENSITRAK,SOLUCION INYECTABLE,2,MG/ML,"CAJA X 1 AMPOLLA DE 2,5 ML",0
270,1C1003541013100,BESILATO DE CISATRACURIO,NO REPORTADO,SOLUCION INYECTABLE,2,MG/ML,CAJAS X 5 AMPOLLAS DE 5ML,0
271,1C1004121001100,CITARABINA,ONCOTAR,SOLUCION INYECTABLE,100,MG/ML,CAJA X VIAL X 5ML,0
272,1C1004121002100,CITARABINA,CYTAMAX,SOLUCION INYECTABLE,100,MG/ML,CAJAS X UN (1) VIAL DE 5ML,0
273,1C1004121003100,CITARABINA,CYTALON,SOLUCION INYECTABLE,100,MG/ML,CAJAS X UN (1) VIAL CON 10 ML,0
274,1C1004121003101,CITARABINA,CYTALON 500,SOLUCION INYECTABLE,100,MG/ML,CAJAS X UN (1) VIAL DE 5ML,0
275,1C1004121005101,CITARABINA,NO REPORTADO,SOLUCION INYECTABLE,100,MG/ML,CAJAS X UN (1) VIAL DE 5ML,0
276,1C1004121007100,CITARABINA,CYOTAJ,SOLUCION INYECTABLE,100,MG/ML,CAJAS X UN (1) VIAL DE 5ML,0
277,1C1004121008100,CITARABINA,CYTAPRO,SOLUCION INYECTABLE,100,MG/ML,CAJAS X UN (1) VIAL DE 10ML,0
278,1C1004121008101,CITARABINA,CYTAPRO,SOLUCION INYECTABLE,100,MG/ML,CAJAS X UN (1) VIAL DE 5ML,0
279,1C1004121009100,CITARABINA,ADLEY FORMULATIONS PVT,SOLUCION INYECTABLE,100,MG/ML,VIAL X 5 ML,0
280,1C1004121010100,CITARABINA,CYTRAZ,SOLUCION INYECTABLE,100,MG/ML,CAJAS X 1 VIAL X 5ML,0
281,1C1004121011100,CITARABINA,NO REPORTADO,SOLUCION INYECTABLE,100,MG/ML,CAJAS X 1 VIAL DE 10 ML,0
282,1C1004121012100,CITARABINA,NO REPORTADO,SOLUCION INYECTABLE,100,MG/ML,CAJA X UN VIAL DE 5 ML,0
283,1C1004471000101,ACIDO COLICO,ORPHACOL,CAPSULA,50,MG,CAJAS X 30 CÁPSULAS,0
284,1C1004471001100,ACIDO COLICO,CHOLBAM,CAPSULA,50,MG,FRASCO X 90,0
285,1C1004511000100,ACIDO COLICO,ORPHACOL,CAPSULA,250,MG,CAJAS X 30 CÁPSULAS,0
286,1C1006141000100,CREATINA,CYTOTINE,SUSPENSION ORAL,300,MG/ML,FRASCO X 480ML,0
287,1C1006341000100,INHIBIDOR C1 RECOMBINANTE HUMANO/CONESTAT ALFA,RUCONEST,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,150,UI/ML,CAJAS X 1 VIAL DE 14 ML,0
288,1C1013981000100,HORMONA LIBERADORA DE CORTICOTROPINA (CRH),CRH (FERRING),POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,100,MCG,CAJA X 1 AMPOLLA + 1 SOLVENTE,0
289,1C1014581000100,CIDOFOVIR,HERITAGE,SOLUCION INYECTABLE,75,MG/ML,CAJAS X 1 VIAL DE 5ML,0
290,1C1019871000100,CERLIPONASA ALFA,BRINEURA,SOLUCION INYECTABLE,30,MG/ML,CAJA X 2 VIALES X 5ML,0
291,1C1019871000101,CERLIPONASA ALFA,BRINEURA,SOLUCION INYECTABLE,30,MG/ML,CAJAS. CADA CAJA INCLUYE DOS (2) VIALES CON 150 MG DE MEDICAMENTO EN 5ML DE SOLUCIÓN Y UN (1) VIAL CON 5 ML DE SOLUCIÓN DE LAVADO.,0
292,1C1020321000100,CIPROFLOXACINO,CIPRO,POLVO PARA DISOLUCION,2.5,MG/ML,FRASCO X 250MG X 100ML,0
293,1C1020451000100,L-CITRULINA,CITRULINA,POLVO PARA DISOLUCION,100,G,FRASCO X 100 GRAMOS,0
294,1C1023451000100,CLORURO DE CALCIO,CLORURO DE CALCIO,SOLUCION INYECTABLE,100,MG/ML,CAJA X 5 AMPOLLAS DE 10 ML,0
295,1C1023461000100,CARMUSTINA,CARMUSTINA,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,100,MG,CAJA X 1 VIAL,0
296,1C1023461001100,CARMUSTINA,CARNUMAX 100,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,100,MG,CAJAS. CADA CAJA CON UN (1) VIAL CON POLVO LIOFILIZADO + UN (1) VIAL CON DILUENTE X 3ML,0
297,1C1023461006100,CARMUSTINA,NO REPORTADO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,100,MG,CAJAS. CADA CAJA CONTIENE UN (1) VIAL CON CARMUSTINA Y UN (1) VIAL CON DILUENTE,0
298,1C1023461007100,CARMUSTINA,CARUSTINE,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,100,MG,CAJA X VIAL,0
299,1C1024071000100,CREATINA MONOHIDRATO,VITAFLO,POLVOS PARA NO RECONSTITUIR,83333/100,MG/G,CAJAS X 30 SOBRES DE 6G,0
300,1C1024071000100.,CREATINA MONOHIDRATO,VITAFLO,SUSPENSION ORAL,5000,MG,CAJA X 30 SOBRES SACHET,0
301,1C1024071001100,CREATINA MONOHIDRATO,VITAFLO,POLVO PARA RECONSTITUIR EN SOLUCION ORAL,83333/100,MG/G,CAJAS X 30 SOBRES DE 6 G,0
302,1C1024451000100,CIPROFLOXACINO,CIPRO,POLVO PARA DISOLUCION,5/100,G/ML,FRASCO X 100 ML,0
303,1C1025411000100,CERITINIB,ZYKADIA,CAPSULA,150,MG,CAJA X 30 CÁPSULAS,0
304,1C1026741001100,CLEMASTINA,TAVEGIL,SOLUCION INYECTABLE,1,MG/ML,CAJA X 5 AMPOLLAS DE 2 ML,0
305,1C1027451001100,CABOZANTINIB,CABOMETYX,TABLETA,60,MG,FRASCO X 30 TABLETAS,0
306,1C1027511001100,GLUCONATO DE CALCIO,NO REPORTADO,SOLUCION INYECTABLE,10,%,CAJAS DE 10 AMPOLLAS DE 10 ML,0
307,1C1027511002100,CALCIO GLUCONATO,NO REPORTADO,SOLUCION INYECTABLE,100,MG/ML,CAJAS X 100 AMPOLLAS X 10 ML,0
308,1C1027511003100,GLUCONATO DE CALCIO,NO REPORTADO,SOLUCION INYECTABLE,10,%,CAJAS X 10 AMPOLLAS DE 10 ML,0
309,1C1027511004100,GLUCONATO DE CALCIO,LABORATORIOS SANDERSON,SOLUCION INYECTABLE,100,MG/ML,CAJA X 100 AMPOLLAS DE 10 ML,0
310,1C1028221000100,CREATINA MONOHIDRATO,CREATINE 5000,POLVO GRANULADO PARA RECONSTITUIR A SUSPENSION ORAL,5000,MG,CAJAS X 30 SOBRESX 6G,0
311,1C1028781000100,HORMONA ADRENOCORTICOTROPINA,AMPHASTAR PHARMA,SOLUCION,0.25,MG/ML,VIAL,0
312,1C1029821000100,CLORMETINA,LEDAGA,GEL,160,MCG/G,CAJA X TUBO X 60 G,0
313,1C1038521000100,CITARABINA,CYRABOL,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,100,MG,CAJAS X 1 VIAL,0
314,1C1038531000100,CITARABINA,CYRABOL,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,500,MG/VIAL,CAJAS X UN (1) VIAL X 10 ML,0
315,1C1038531002100,CITARABINA,NO REPORTADO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,500,MG/VIAL,CAJAS X UN (1) VIAL,0
316,1C1038541000100,CITARABINA,CYRABOL,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,1000,MG/VIAL,CAJAS X UN (1) VIAL,0
317,1C1039371000100,CASIMERSEN,AMONDYS 45,SOLUCION INYECTABLE,50,MG/ML,CAJAS X 1 VIAL X 2ML,0
318,1C1042891004100,CLOBAZAM,NO REPORTADO,TABLETA,20,MG,CAJAS X 30 TABLETAS,0
319,1C1042911003100,CLOBAZAM,NO REPORTADO,TABLETA,10,MG,CAJAS X 30 TABLETAS,0
320,1C1061641000100,CRIZOTINIB,XALCORI,CAPSULA,20,MG,FRASCOS X 60 CÁPSULAS,0
321,1C1061651000100,CRIZOTINIB,XALCORI,CAPSULA,50,MG,FRASCOS X 60 CÁPSULAS,0
322,1C1061771000100,CAPMATINIB,TABRECTA,TABLETA,200,MG,CAJAS X 120 TABLETAS,0
323,1C1062911000100,CICLOSERINA,CYCLOPS,CAPSULA,250,MG,CAJAS X 10 CÁPSULAS,0
324,1D1000031000100,DAUNORUBICINA LIPOSOMAL,DAUNOXOME,SOLUCION INYECTABLE,2,MG,CAJA X 1 VIAL DE 25 ML,0
325,1D1000031001100,DAUNORUBICINA LIPOSOMAL,STRENUUS MARKETING,SOLUCION INYECTABLE,2,MG,CAJAS X 1 VIAL X 25 ML,0
326,1D1000031002100,DAUNORUBICINA LIPOSOMAL,DAUNORRUBICIN,SOLUCION INYECTABLE,2,MG,CAJA X 1 VIAL X 25 ML,0
327,1D1000031003100,DAUNORUBICINA LIPOSOMAL,DUNOLDN,SOLUCION INYECTABLE,2,MG/ML,CAJAS X 1 VIAL X 25 ML,0
328,1D1000031004100,DAUNORUBICINA LIPOSOMAL,PEG DAUNDN,SOLUCION INYECTABLE,2,MG/ML,CAJAS X 1 VIAL DE 25 ML,0
329,1D1000031005100,DAUNORUBICINA LIPOSOMAL,NO REPORTADO,SOLUCION INYECTABLE,2,MG/ML,CAJAS X 1 VIAL DE 25 ML,0
330,1D1000331000100,DIAZOXIDO,PROGLYCEM,SUSPENSION ORAL,50,MG/ML,FRASCO X 30ML,0
331,1D10008521000100,DEFIBROTIDE,DEFITELIO,SOLUCION,80,MG/ML,CAJA X 10 VIALES,0
332,1D1001091000100,DAPSONA,DABSON,TABLETA,100,MG,CAJAS X 30 TABLETAS,0
333,1D1001091001100,DAPSONA,DABSON,TABLETA,100,MG,CAJA X 30 TABLETAS,0
334,1D1001091003100,DAPSONA,SETON,TABLETA,100,MG,FRASCO X 30 TABLETAS,0
335,1D1001421001100,DEXMEDETOMIDINA,KRUNAMINA,SOLUCION INYECTABLE,0.1,MG/ML,CAJA X 5 VIALES X 2 ML,0
336,1D1001421008101,DIAZEPAM,DIAZEPAM,SOLUCION INYECTABLE,10/2,MG/ML,CAJA X 100 AMPOLLAS,0
337,1D1001421011100,DEXMEDETOMIDINA,HOLLAND GROUP,SOLUCION INYECTABLE,0.1,MG/ML,CAJA X 10 AMPOLLAS X 2 ML,0
338,1D1001991001100,DANTROLENO SODICO,DANTRIUM,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,20,MG,CAJAS X DOCE (12) VIALES,0
339,1D1004291001100,DIAZEPAM,RELAZEPAM,SOLUCION INYECTABLE,5,MG/ML,CAJAS X 6 AMPOLLAS X 2 ML,0
340,1D1008521000100.,DEFIBROTIDE,DEFITELIO,SOLUCION INYECTABLE,80,MG/ML,"CAJA X 10 VIALES X 2,5 ML",0
341,1D1008881002100,DOPAMINA CLORHIDRATO,NO REPORTADO,SOLUCION INYECTABLE,40,MG/ML,CAJAS X 10 AMPOLLAS,0
342,1D1008881003100,DOPAMINA CLORHIDRATO,NO REPORTADO,SOLUCION INYECTABLE,40,MG/ML,CAJAS. CADA CAJA CON 100 AMPOLLAS DE 5 ML,0
343,1D1008881004100,DOPAMINA CLORHIDRATO,INOTROPISA,SOLUCION INYECTABLE,40,MG/ML,CAJAS. CADA CAJA CON 5 AMPOLLETAS DE 5ML,0
344,1D1023251000100,DUPILUMAB,DUPIXENT,SOLUCION INYECTABLE,150,MG/ML,CAJA X 2 JERINGAS X 2ML,0
345,1D1023501000100,DANTROLENO SODICO,DANTROLEN,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,20,MG,CAJA X 12 VIALES,0
346,1D1023501001100,DANTROLENO SODICO,DANTRIUM,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,20,MG,CAJAS X 6 VIALES,0
347,1D1023501001101,DANTROLENO SODICO,DANTRIUM,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,20,MG,KITS POR DOCE (12) VIALES CADA UNO,0
348,1D1023501002100,DANTROLENO SODICO,VESALIUS PHARMA,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,20,MG,CAJAS X UN (1) VIAL,0
349,1D1023521001100,DIFENHIDRAMINA CLORHIDRATO,NO REPORTADO,SOLUCION INYECTABLE,50,MG/ML,CAJAS X 25 VIALES X 1 ML,0
350,1D1026661000100,DURVALUMAB,NO REPORTADO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,50,MG/ML,CAJA X 3 VIALES X 10 ML,0
351,1D1030021001100,DURVALUMAB,NO REPORTADO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,50,MG,CAJA X 3 VIALES X 10 ML,0
352,1D1034671000100,DEXMEDETOMIDINA,NO REPORTADO,SOLUCION INYECTABLE,4,MCG/ML,"CAJAS. CADA CAJA CONTIENE DOS (2) VSC, Y CADA VSC CONTIENE SEIS (6) BOLSAS DE LLDPE//PVDC//NYLON//LLDPE X 100 ML",0
353,1D1045621000100,DINUTUXIMAB BETA,QARZIBA,SOLUCION CONCENTRADA PARA PERFUSION,4.5,MG/ML,"CAJAS X UN (1) VIAL DE 4,5 ML",0
354,1D1061121000100,DOSTARLIMAB,JEMPERLI,SOLUCION INYECTABLE,500,MG/VIAL,CAJAS X UN (1) VIAL X 10ML,0
355,1D1061941000100,DINUTUXIMAB,UNITUXIN,SOLUCION INYECTABLE,"3,5",MG/ML,CAJA X 1 VIAL X 5ML,0
356,1E1001601000100,ETOSUXIMIDA,SUXILEP,CAPSULA,250,MG,CAJA X 100 CAPSULAS,0
357,1E1001601001100,ETOSUXIMIDA,ZARONTIN,CAPSULA,250,MG,FRASCOS X 100 CÁPSULAS,0
358,1E1001601002100,ETOSUXIMIDA,PETINIMID,CAPSULA,250,MG,CAJAS X 100 CAPSULAS,0
359,1E1001601003100,ETOSUXIMIDA,ETHYMAL,CAPSULA,250,MG,CAJAS X 50 CAPSULAS,0
360,1E1001601003101,ETOSUXIMIDA,ETHYMAL,CAPSULA,250,MG,FRASCO X 100 CAPSULAS,0
361,1E1001601004100,ETOSUXIMIDA,STRENUUS MARKETING,CAPSULA,250,MG,FRASCO X 100 CAPSULAS,0
362,1E1004581000101,EPINEFRINA,EPIPEN,SOLUCION INYECTABLE,"0,3/0,3",MG/ML,CAJA X 1 AUTOINYECTOR,0
