id_diagnostico,codigo_cie10,diagnostico,capitulo_cie10,tiene_diagnostico
59,E888,OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO,"Enf. endocrinas, nutricionales y metabólicas",1
60,D898,ENFERMEDAD INJERTO CONTRA HUESPED,Neoplasias benignas / Enf. de la sangre,1
61,NO REPORTADO,ANTIHISTAMINICO,Enfermedades del sistema genitourinario,1
62,E802,OTRAS PORFIRIAS,"Enf. endocrinas, nutricionales y metabólicas",1
63,C921,LEUCEMIA MIELOIDE CRONICA,Neoplasias malignas (oncológico),1
64,NO REPORTADO,NEFROPATIA POR IGA,Enfermedades del sistema genitourinario,1
65,H472,ATROFIA OPTICA,Enfermedades del ojo y del oído,1
66,E700,FENILCETONURIA CLASICA,"Enf. endocrinas, nutricionales y metabólicas",1
67,T784,ALERGIA NO ESPECIFICADA,Traumatismos y envenenamientos,1
68,E873,ALCALOSIS,"Enf. endocrinas, nutricionales y metabólicas",1
69,Q871,NEUROFIBROMATOSIS TIPO 1 CON NEUROFIBROMA IRRESECABLE,Malformaciones congénitas,1
70,G404,OTRAS EPILEPSIAS Y SINDROMES EPILEPTICOS GENERALIZADOS,Enfermedades del sistema nervioso,1
71,G405,SINDROMES EPILEPTICOS ESPECIALES,Enfermedades del sistema nervioso,1
72,R64X,CAQUEXIA,Síntomas y signos no clasificados,1
73,NO REPORTADO,AGENTES ADRENERGICOS Y DOPAMINERGICOS,Enfermedades del sistema genitourinario,1
74,E713,TRASTORNOS DEL METABOLISMO DE LOS ACIDOS GRASOS,"Enf. endocrinas, nutricionales y metabólicas",1
75,Q809,"ICTIOSIS CONGENITA, NO ESPECIFICADA",Malformaciones congénitas,1
76,D749,"METAHEMOGLOBINEMIA, NO ESPECIFICADA",Neoplasias benignas / Enf. de la sangre,1
77,E031,HIPOTIROIDISMO CONGENITO SIN BOCIO,"Enf. endocrinas, nutricionales y metabólicas",1
78,C61X,TUMOR MALIGNO DE LA PROSTATA,Neoplasias malignas (oncológico),1
79,Q447,SINDROME DE ALAGILLE,Malformaciones congénitas,1
80,Z940,TRASPLANTE DE RINON,Factores que influyen en el estado de salud,1
81,NO REPORTADO,ANAFILAXIA,Enfermedades del sistema genitourinario,1
82,N158,SINDROME DE GITELMAN,Enfermedades del sistema genitourinario,1
83,I499,"ARRITMIA CARDIACA, NO ESPECIFICADA",Enfermedades del sistema circulatorio,1
84,E250,TRASTORNOS ADRENOGENITALES CONGENITOS CON DEFICIENCIA ENZIMATICA,"Enf. endocrinas, nutricionales y metabólicas",1
85,N071,"NEFROPATIA HEREDITARIA, NO CLASIFICADA EN OTRA PARTE: LESIONES GLOMERULARES FOCALES Y SEGMENTARIAS",Enfermedades del sistema genitourinario,1
86,I472,TAQUICARDIA VENTRICULAR,Enfermedades del sistema circulatorio,1
87,NO REPORTADO,NEFRITIS LUPICA IV/IV,Enfermedades del sistema genitourinario,1
88,NO REPORTADO,SINDROME DE GITELMAN,Enfermedades del sistema genitourinario,1
89,NO REPORTADO,ENFERMEDAD DE NIEMANN-PICK TIPO B,Enfermedades del sistema genitourinario,1
90,G934,ENCEFALOPATIA NO ESPECIFICADA,Enfermedades del sistema nervioso,1
91,G609,"NEUROPATIA HEREDITARIA E IDIOPATICA, SIN OTRA ESPECIFICACION",Enfermedades del sistema nervioso,1
92,D595,HEMOGLOBINURIA PAROXISTICA NOCTURNA [MARCHIAFAVA-MICHELI],Neoplasias benignas / Enf. de la sangre,1
93,I950,HIPOTENSION IDIOPATICA,Enfermedades del sistema circulatorio,1
94,C97X,TUMORES MALIGNO (PRIMARIOS) DE SITIOS MULTIPLES INDEPENDIENTES,Neoplasias malignas (oncológico),1
95,N046,NEFROPATIA POR IGA,Enfermedades del sistema genitourinario,1
