id_diagnostico,codigo_cie10,diagnostico,capitulo_cie10,tiene_diagnostico
243,C251,TUMOR MALIGNO DEL CUERPO DEL PANCREAS,Neoplasias malignas (oncológico),1
244,B965,PSEUDOMONAS (AERUGINOSA) (MALLEI) (PSEUDOMALLEI) COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPITULOS,Enfermedades infecciosas y parasitarias,1
245,E748,HIPEROXALURIA PRIMARIA TIPO 1,"Enf. endocrinas, nutricionales y metabólicas",1
246,T650,EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: CIANURO,Traumatismos y envenenamientos,1
247,C829,"LINFOMA NO HODGKIN FOLICULAR, SIN OTRA ESPECIFICACION",Neoplasias malignas (oncológico),1
248,R200,ANESTESIA,Síntomas y signos no clasificados,1
249,C947,OTRAS LEUCEMIAS ESPECIFICADAS,Neoplasias malignas (oncológico),1
250,T630,EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS: VENENO DE SERPIENTE,Traumatismos y envenenamientos,1
251,D800,HIPOGAMMAGLOBULINEMIA HEREDITARIA,Neoplasias benignas / Enf. de la sangre,1
252,D684,DEFICIENCIA ADQUIRIDA DE FACTORES DE LA COAGULACION,Neoplasias benignas / Enf. de la sangre,1
253,NO REPORTADO,HIPERTENSION PULMONAR PEDIATRICA,Enfermedades del sistema genitourinario,1
254,NO REPORTADO,ANTIDOTO CONTRA CIANURO,Enfermedades del sistema genitourinario,1
255,Q618,OTRAS ENFERMEDADES RENALES QUISTICAS,Malformaciones congénitas,1
256,B259,"ENFERMEDAD POR VIRUS CITOMEGALICO, NO ESPECIFICADA",Enfermedades infecciosas y parasitarias,1
257,E559,"DEFICIENCIA DE VITAMINA D, NO ESPECIFICADA","Enf. endocrinas, nutricionales y metabólicas",1
258,NO REPORTADO,"RINON POLIQUISTICO, TIPO ADULTO",Enfermedades del sistema genitourinario,1
259,N025,NEFROPATIA POR IGA,Enfermedades del sistema genitourinario,1
260,E889,"TRASTORNO METABOLICO, NO ESPECIFICADO","Enf. endocrinas, nutricionales y metabólicas",1
261,H488,OTROS TRASTORNOS DEL NERVIO OPTICO Y DE LAS VIAS OPTICAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,Enfermedades del ojo y del oído,1
262,C925,LEUCEMIA MIELOMONOCITICA AGUDA,Neoplasias malignas (oncológico),1
263,NO REPORTADO,ANTIBIOTICO DE AMPLIO ESPECTRO,Enfermedades del sistema genitourinario,1
264,NO REPORTADO,MIELOMA MULTIPLE,Enfermedades del sistema genitourinario,1
265,G608,OTRAS NEUROPATIAS HEREDITARIAS E IDIOPATICAS,Enfermedades del sistema nervioso,1
266,D830,INMUNODEFICIENCIA VARIABLE COMUN CON PREDOMINIO DE ANORMALIDADES EN EL NUMERO Y LA FUNCION DE LOS LINFOCITOS B,Neoplasias benignas / Enf. de la sangre,1
267,Q612,ENFERMEDAD RENAL POLIQUISTICA AUTOSOMICA DOMINANTE,Malformaciones congénitas,1
268,N188,OTRAS INSUFICIENCIAS RENALES CRONICAS,Enfermedades del sistema genitourinario,1
269,L986,OTROS TRASTORNOS INFILTRATIVOS DE LA PIEL Y DEL TEJIDO SUBCUTANEO,Enfermedades de la piel,1
270,NO REPORTADO,ESTIMULANTE DEL SISTEMA NERVIOSO SIMPATICO (RECEPTORES ALFA Y BETA),Enfermedades del sistema genitourinario,1
271,C693,TUMOR MALIGNO DE LA COROIDES,Neoplasias malignas (oncológico),1
272,E752,OTRAS ESFINGOLIPIDOSIS,"Enf. endocrinas, nutricionales y metabólicas",1
273,NO REPORTADO,CARCINOMA DUCTAL INFILTRANTE DE MAMA IZQUIERDO GRADO 3 HER 2 POSITIVO,Enfermedades del sistema genitourinario,1
274,N179,"INSUFICIENCIA RENAL AGUDA, NO ESPECIFICADA",Enfermedades del sistema genitourinario,1
275,D819,"INMUNODEFICIENCIA COMBINADA, NO ESPECIFICADA",Neoplasias benignas / Enf. de la sangre,1
276,G470,TRASTORNOS DEL INICIO Y DEL MANTENIMIENTO DEL SUENO [INSOMNIOS],Enfermedades del sistema nervioso,1
277,A162,"TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",Enfermedades infecciosas y parasitarias,1
278,B182,HEPATITIS VIRAL TIPO C CRONICA,Enfermedades infecciosas y parasitarias,1
279,H46X,NEURITIS OPTICA,Enfermedades del ojo y del oído,1
280,D690,PURPURA ALERGICA,Neoplasias benignas / Enf. de la sangre,1
281,R560,CONVULSIONES FEBRILES,Síntomas y signos no clasificados,1
282,C950,"LEUCEMIA AGUDA, CELULAS DE TIPO NO ESPECIFICADO",Neoplasias malignas (oncológico),1
283,C463,SARCOMA DE KAPOSI DE LOS GANGLIOS LINFATICOS,Neoplasias malignas (oncológico),1
284,N033,SINDROME NEFRITICO CRONICO: GLOMERULONEFRITIS PROLIFERATIVA MESANGIAL DIFUSA,Enfermedades del sistema genitourinario,1
285,C723,TUMOR MALIGNO DEL NERVIO OPTICO,Neoplasias malignas (oncológico),1
286,I270,HIPERTENSION PULMONAR PRIMARIA,Enfermedades del sistema circulatorio,1
287,I498,OTRAS ARRITMIAS CARDIACAS ESPECIFICADAS,Enfermedades del sistema circulatorio,1
288,E834,TRASTORNOS DEL METABOLISMO DEL MAGNESIO,"Enf. endocrinas, nutricionales y metabólicas",1
289,A153,"TUBERCULOSIS DEL PULMON , CONFIRMADA POR MEDIOS NO ESPECIFICADOS",Enfermedades infecciosas y parasitarias,1
290,NO REPORTADO,ESTIMULO DE ACTH EN LA PRUEBA DE LABORATORIO CLINICO PARA LA INVESTIGACION DE INSUFICIENCIA CORTICOSUPRARRENAL,Enfermedades del sistema genitourinario,1
291,N144,"NEFROPATIA TOXICA, NO ESPECIFICADA EN OTRA PARTE",Enfermedades del sistema genitourinario,1
292,K743,CIRROSIS BILIAR PRIMARIA,Enfermedades del sistema digestivo,1
293,NO REPORTADO,CONVULSIONES MIXTAS/EPILEPSIA REFRACTARIA,Enfermedades del sistema genitourinario,1
294,C673,TUMOR MALIGNO DE LA PARED ANTERIOR DE LA VEJIGA,Neoplasias malignas (oncológico),1
295,NO REPORTADO,CANCER DE ENDOMETRIO,Enfermedades del sistema genitourinario,1
296,D848,OTRAS INMUNODEFICIENCIAS ESPECIFICADAS,Neoplasias benignas / Enf. de la sangre,1
297,D801,HIPOGAMMAGLOBULINEMIA NO FAMILIAR,Neoplasias benignas / Enf. de la sangre,1
298,H488,NEUROPATIA OPTICA HEREDITARIA DE LEBER,Enfermedades del ojo y del oído,1
299,NO REPORTADO,DEFICIENCIA DE MAGNESIO EN SANGRE,Enfermedades del sistema genitourinario,1
300,B029,HERPES ZOSTER SIN COMPLICACIONES,Enfermedades infecciosas y parasitarias,1
301,I210,INFARTO TRANSMURAL AGUDO DEL MIOCARDIO DE LA PARED ANTERIOR,Enfermedades del sistema circulatorio,1
302,E875,HIPERPOTASEMIA,"Enf. endocrinas, nutricionales y metabólicas",1
303,T887,EFECTO ADVERSO NO ESPECIFICADO DE DROGA O MEDICAMENTO,Traumatismos y envenenamientos,1
304,T782,"CHOQUE ANAFILACTICO, NO ESPECIFICADO",Traumatismos y envenenamientos,1
305,R568,OTRAS CONVULSIONES Y LAS NO ESPECIFICADAS,Síntomas y signos no clasificados,1
306,E230,HIPOPITUITARISMO,"Enf. endocrinas, nutricionales y metabólicas",1
307,H470,"TRASTORNOS DEL NERVIO OPTICO, NO CLASIFICADOS EN OTRA PARTE",Enfermedades del ojo y del oído,1
308,NO REPORTADO,NIEMANN PICK TIPO B,Enfermedades del sistema genitourinario,1
309,G10X,ENFERMEDAD DE HUNTINGTON,Enfermedades del sistema nervioso,1
310,M100,GOTA IDIOPATICA,Enfermedades del sistema musculoesquelético,1
311,C911,LEUCEMIA LINFOCITICA CRONICA,Neoplasias malignas (oncológico),1
312,G919,"HIDROCEFALO, NO ESPECIFICADO",Enfermedades del sistema nervioso,1
313,G118,OTRAS ATAXIAS HEREDITARIAS,Enfermedades del sistema nervioso,1
314,M053,ARTRITIS REUMATOIDE CON COMPROMISO DE OTROS ORGANOS O SISTEMAS,Enfermedades del sistema musculoesquelético,1
315,A310,INFECCIONES POR MICOBACTERIAS PULMONARES,Enfermedades infecciosas y parasitarias,1
316,NO REPORTADO,"BLOQUEO CARDIACO, ATAQUES ADAMS-STOKES, PARA CARDIACO",Enfermedades del sistema genitourinario,1
317,R391,OTRAS DIFICULTADES DE LA MICCION,Síntomas y signos no clasificados,1
318,F446,ANESTESIA DISOCIATIVA Y PERDIDA SENSORIAL,Trastornos mentales y del comportamiento,1
319,T561,EFECTO TOXICO DE METALES: MERCURIO Y SUS COMPUESTOS,Traumatismos y envenenamientos,1
320,D691,DEFECTOS CUALITATIVOS DE LAS PLAQUETAS,Neoplasias benignas / Enf. de la sangre,1
321,E785,HIPERLIPIDEMIA NO ESPECIFICADA,"Enf. endocrinas, nutricionales y metabólicas",1
322,L209,"DERMATITIS ATOPICA, NO ESPECIFICADA",Enfermedades de la piel,1
323,A152,"TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE",Enfermedades infecciosas y parasitarias,1
324,E729,"TRASTORNO DEL METABOLISMO DE LOS AMINOACIDOS, NO ESPECIFICADO","Enf. endocrinas, nutricionales y metabólicas",1
325,R81X,GLUCOSURIA,Síntomas y signos no clasificados,1
326,Z309,"ASISTENCIA PARA LA ANTICONCEPCION, NO ESPECIFICADA",Factores que influyen en el estado de salud,1
327,I500,INSUFICIENCIA CARDIACA CONGESTIVA,Enfermedades del sistema circulatorio,1
328,R71X,ANORMALIDAD DE LOS ERITROCITOS,Síntomas y signos no clasificados,1
329,NO REPORTADO,CA GASTRICO UNION GASTROESOFAGICA ESTADIO IV POR COMPROMISO HEPATICO HER2 POSITIVO.,Enfermedades del sistema genitourinario,1
330,E789,"TRASTORNO DEL METABOLISMO DE LAS LIPOPROTEINAS, NO ESPECIFICADO","Enf. endocrinas, nutricionales y metabólicas",1
331,K768,HIPOKALEMIA SEVERA SECUNDARIA A SINDROME DE GITTELMAN,Enfermedades del sistema digestivo,1
332,C914,LEUCEMIA DE CELULAS VELLOSAS,Neoplasias malignas (oncológico),1
333,K830,COLANGITIS,Enfermedades del sistema digestivo,1
334,R529,"DOLOR, NO ESPECIFICADO",Síntomas y signos no clasificados,1
335,NO REPORTADO,REACCION ALERGICA SEVERA (ANAFILAXIA),Enfermedades del sistema genitourinario,1
336,D561,BETA TALASEMIA,Neoplasias benignas / Enf. de la sangre,1
337,B258,OTRAS ENFERMEDADES DEBIDAS A VIRUS CITOMEGALICO,Enfermedades infecciosas y parasitarias,1
338,R252,CALAMBRES Y ESPASMOS,Síntomas y signos no clasificados,1
339,Q611,"RINON POLIQUISTICO, TIPO INFANTIL",Malformaciones congénitas,1
340,NO REPORTADO,INDIGESTION,Enfermedades del sistema genitourinario,1
341,C759,TUMOR MALIGNO DE GLANDULA ENDOCRINA NO ESPECIFICADA,Neoplasias malignas (oncológico),1
342,R190,"TUMEFACCION, MASA O PROMINENCIA INTRAABDOMINAL Y PELVICA",Síntomas y signos no clasificados,1
343,C56X,TUMOR MALIGNO DEL OVARIO,Neoplasias malignas (oncológico),1
344,D447,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL CUERPO AORTICO Y OTROS CROMAFINES,Neoplasias benignas / Enf. de la sangre,1
345,D838,OTRAS INMUNODEFICIENCIAS VARIABLES COMUNES,Neoplasias benignas / Enf. de la sangre,1
346,NO REPORTADO,ENFERMEDAD DE NIEMANN PICK TIPO B,Enfermedades del sistema genitourinario,1
347,NO REPORTADO,NEUROBLASTOMA ESTADIO IV,Enfermedades del sistema genitourinario,1
348,D469,"SINDROME MIELODISPLASICO, SIN OTRA ESPECIFICACION",Neoplasias benignas / Enf. de la sangre,1
349,NO REPORTADO,ANESTESICO LOCAL,Enfermedades del sistema genitourinario,1
350,NO REPORTADO,EXTRACTOS ALERGENICOS,Enfermedades del sistema genitourinario,1
351,NO REPORTADO,"SINDROME MIELODISPLASICO, SIN OTRA ESPECIFICACION",Enfermedades del sistema genitourinario,1
352,C912,LEUCEMIA LINFOCITICA SUBAGUDA,Neoplasias malignas (oncológico),1
353,N023,HEMATURIA RECURRENTE Y PERSISTENTE: GLOMERULONEFRITIS PROLIFERATIVA MESANGIAL DIFUSA,Enfermedades del sistema genitourinario,1
354,NO REPORTADO,NEFRITIS LUPICA,Enfermedades del sistema genitourinario,1
355,E878,"OTROS TRASTORNOS DEL EQUILIBRIO DE LOS ELECTROLITOS Y DE LOS LIQUIDOS, NO CLASIFICADOS EN OTRA PARTE","Enf. endocrinas, nutricionales y metabólicas",1
356,L400,PSORIASIS VULGAR,Enfermedades de la piel,1
357,C629,"TUMOR MALIGNO DEL TESTICULO, NO ESPECIFICADO",Neoplasias malignas (oncológico),1
358,C670,TUMOR MALIGNO DEL TRIGONO VESICAL,Neoplasias malignas (oncológico),1
359,B171,HEPATITIS AGUDA TIPO C,Enfermedades infecciosas y parasitarias,1
360,O720,HEMORRAGIA DEL TERCER PERIODO DEL PARTO,"Embarazo, parto y puerperio",1
361,NO REPORTADO,ANESTESICOS,Enfermedades del sistema genitourinario,1
362,C672,TUMOR MALIGNO DE LA PARED LATERAL DE LA VEJIGA,Neoplasias malignas (oncológico),1
363,Z949,ORGANO Y TEJIDO TRASPLANTADO NO ESPECIFICADO,Factores que influyen en el estado de salud,1
364,E892,HIPOPARATIROIDISMO CONSECUTIVO A PROCEDIMIENTOS,"Enf. endocrinas, nutricionales y metabólicas",1
365,O13X,HIPERTENSION GESTACIONAL (INDUCIDA POR EL EMBARAZO) SIN PROTEINURIA SIGNIFICATIVA,"Embarazo, parto y puerperio",1
366,C719,"TUMOR MALIGNO DEL ENCEFALO, PARTE NO ESPECIFICADA",Neoplasias malignas (oncológico),1
367,NO REPORTADO,COREA DE HUNTINGTON,Enfermedades del sistema genitourinario,1
368,D752,TROMBOCITOSIS ESENCIAL,Neoplasias benignas / Enf. de la sangre,1
369,NO REPORTADO,VACUNA CONTRA ZOSTER,Enfermedades del sistema genitourinario,1
370,E209,"HIPOPARATIROIDISMO, NO ESPECIFICADO","Enf. endocrinas, nutricionales y metabólicas",1
371,O722,HEMORRAGIA POSTPARTO SECUNDARIA O TARDIA,"Embarazo, parto y puerperio",1
372,E858,OTRAS AMILOIDOSIS,"Enf. endocrinas, nutricionales y metabólicas",1
373,E852,"AMILOIDOSIS HEREDOFAMILIAR, NO ESPECIFICADA","Enf. endocrinas, nutricionales y metabólicas",1
374,C841,ENFERMEDAD DE SEZARY,Neoplasias malignas (oncológico),1
375,K710,"ENFERMEDAD TOXICA DEL HIGADO, CON COLESTASIS",Enfermedades del sistema digestivo,1
376,NO REPORTADO,DEFICIT DE LIPASA ACIDA LIPOSOMAL,Enfermedades del sistema genitourinario,1
377,A498,OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO,Enfermedades infecciosas y parasitarias,1
378,E851,AMILOIDOSIS HEREDOFAMILIAR NEUROPATICA,"Enf. endocrinas, nutricionales y metabólicas",1
379,D467,OTROS SINDROMES MIELODISPLASICOS,Neoplasias benignas / Enf. de la sangre,1
380,G119,"ATAXIA HEREDITARIA, NO ESPECIFICADA",Enfermedades del sistema nervioso,1
381,C674,TUMOR MALIGNO DE LA PARED POSTERIOR DE LA VEJIGA,Neoplasias malignas (oncológico),1
382,E668,OTROS TIPOS DE OBESIDAD,"Enf. endocrinas, nutricionales y metabólicas",1
383,NO REPORTADO,ANESTESICO LOCAL TIPO AMIDA,Enfermedades del sistema genitourinario,1
384,I10X,HIPERTENSION ESENCIAL (PRIMARIA),Enfermedades del sistema circulatorio,1
385,E271,INSUFICIENCIA CORTICOSUPRARRENAL PRIMARIA,"Enf. endocrinas, nutricionales y metabólicas",1
386,E612,SINDROME DE GITTELMAN,"Enf. endocrinas, nutricionales y metabólicas",1
387,NO REPORTADO,HIPOTENSION AGUDA,Enfermedades del sistema genitourinario,1
388,T459,"ENVENENAMIENTO POR AGENTES PRINCIPALMENTE SISTEMICOS Y HEMATOLOGICOS, NO CLASIFICADOS EN OTRA PARTE: AGENTES PRINCIPALMENTE SISTEMICOS Y HEMATOLOGICOS, NO ESPECIFICADOS",Traumatismos y envenenamientos,1
389,NO REPORTADO,"DIABETES INSIPIDA, VARICES HEMORRAGICAS Y ARRESTO CARDIACO SIN PULSO",Enfermedades del sistema genitourinario,1
390,D808,OTRAS INMUNODEFICIENCIAS CON PREDOMINIO DE DEFECTOS DE LOS ANTICUERPOS,Neoplasias benignas / Enf. de la sangre,1
391,D075,CARCINOMA IN SITU DE LA PROSTATA,Neoplasias benignas / Enf. de la sangre,1
392,Z225,PORTADOR DE HEPATITIS VIRAL,Factores que influyen en el estado de salud,1
393,E859,"AMILOIDOSIS, NO ESPECIFICADA","Enf. endocrinas, nutricionales y metabólicas",1
394,NO REPORTADO,SINDROME DE BARTTER,Enfermedades del sistema genitourinario,1
395,C819,"ENFERMEDAD DE HODGKIN, NO ESPECIFICADA",Neoplasias malignas (oncológico),1
396,G588,OTRAS MONONEUROPATIAS ESPECIFICADAS,Enfermedades del sistema nervioso,1
397,E710,ENFERMEDAD DE LA ORINA EN JARABE DE ARCE,"Enf. endocrinas, nutricionales y metabólicas",1
398,D67X,DEFICIENCIA HEREDITARIA DEL FACTOR IX,Neoplasias benignas / Enf. de la sangre,1
399,Q438,"OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO, NO ESPECIFICADAS",Malformaciones congénitas,1
400,C467,SARCOMA DE KAPOSI DE OTROS SITIOS ESPECIFICADOS,Neoplasias malignas (oncológico),1
401,M303,SINDROME MUCOCUTANEO LIFONODULAR [KAWASAKI],Enfermedades del sistema musculoesquelético,1
402,NO REPORTADO,DIAGNOSTICO Y TRATAMIENTO DE LA INSUFICIENCIA CORTICOSUPRARRENAL ENCELOAPATIA INFANTIL MIOCLONICA CON HIPSARRITMIA,Enfermedades del sistema genitourinario,1
403,I455,OTROS TIPOS ESPECIFICADOS DE BLOQUEO DEL CORAZON,Enfermedades del sistema circulatorio,1
404,D090,CARCINOMA IN SITU DE LA VEJIGA,Neoplasias benignas / Enf. de la sangre,1
405,F311,"TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE SIN SINTOMAS PSICOTICOS",Trastornos mentales y del comportamiento,1
406,B589,"TOXOPLASMOSIS, NO ESPECIFICADA",Enfermedades infecciosas y parasitarias,1
407,E830,TRASTORNOS DEL METABOLISMO DEL COBRE,"Enf. endocrinas, nutricionales y metabólicas",1
408,T523,EFECTO TOXICO DE DISOLVENTES ORGANICOS: GLICOLES,Traumatismos y envenenamientos,1
409,C570,CANCER DE TROMPA DE FALOPIO ESTADIO IIIC,Neoplasias malignas (oncológico),1
410,C499,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO, DE SITIO NO ESPECIFICADO",Neoplasias malignas (oncológico),1
411,J849,"ENFERMEDAD PULMONAR INTERSTICIAL, NO ESPECIFICADA",Enfermedades del sistema respiratorio,1
412,D470,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS MASTOCITOS E HISTIOCITOS,Neoplasias benignas / Enf. de la sangre,1
413,NO REPORTADO,ANTICOAGULANTE,Enfermedades del sistema genitourinario,1
414,D809,"INMUNODEFICIENCIA CON PREDOMINIO DE DEFECTOS DE LOS ANTICUERPOS, NO ESPECIFICADA",Neoplasias benignas / Enf. de la sangre,1
415,NO REPORTADO,DEFICIT DE LIPASA LIPOSOMAL,Enfermedades del sistema genitourinario,1
416,T800,"EMBOLIA GASEOSA CONSECUTIVAS A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA",Traumatismos y envenenamientos,1
417,C570,TUMOR MALIGNO DE LA TROMPA DE FALOPIO,Neoplasias malignas (oncológico),1
418,I850,VARICES ESOFAGICAS CON HEMORRAGIA,Enfermedades del sistema circulatorio,1
419,NO REPORTADO,ENFERMEDAD RENAL POLIQUISTICA AUTOSOMICA DOMINANTE,Enfermedades del sistema genitourinario,1
420,B977,PAPILOMAVIRUS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPITULOS,Enfermedades infecciosas y parasitarias,1
421,E728,OTROS TRASTORNOS ESPECIFICADOS DEL METABOLISMO DE LOS AMINOACIDOS,"Enf. endocrinas, nutricionales y metabólicas",1
422,NO REPORTADO,SINDROME DE ALAGILLE,Enfermedades del sistema genitourinario,1
423,E162,"HIPOGLICEMIA , NO ESPECIFICADA","Enf. endocrinas, nutricionales y metabólicas",1
424,E107,DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES MULTIPLES,"Enf. endocrinas, nutricionales y metabólicas",1
425,D688,OTROS DEFECTOS ESPECIFICADOS DE LA COAGULACION,Neoplasias benignas / Enf. de la sangre,1
426,C469,"SARCOMA DE KAPOSI, DE SITIO NO ESPECIFICADO",Neoplasias malignas (oncológico),1
427,Q955,INDIVIDUOS CON SITIO FRAGIL AUTOSOMICO,Malformaciones congénitas,1
428,NO REPORTADO,CARCINOMA SEROSA PAPILAR DE OVARIO ESTADIO IIIC,Enfermedades del sistema genitourinario,1
429,K297,"GASTRITIS, NO ESPECIFICADA",Enfermedades del sistema digestivo,1
430,D460,"ANEMIA REFRACTARIA SIN SIDEROBLASTOS, ASI DESCRITA",Neoplasias benignas / Enf. de la sangre,1
431,Z820,HISTORIA FAMILIAR DE EPILEPSIA Y DE OTRAS ENFERMEDADES DEL SISTEMA NERVIOSO,Factores que influyen en el estado de salud,1
432,G618,OTRAS POLINEUROPATIAS INFLAMATORIAS,Enfermedades del sistema nervioso,1
433,NO REPORTADO,NEUROFIBROMATOSIS (NO MALIGNA),Enfermedades del sistema genitourinario,1
434,E888,DEFICIENCIA DE LIPASA ACIDA,"Enf. endocrinas, nutricionales y metabólicas",1
435,C468,SARCOMA DE KAPOSI DE MULTIPLES ORGANOS,Neoplasias malignas (oncológico),1
436,NO REPORTADO,COAGULANTE,Enfermedades del sistema genitourinario,1
437,D890,HIPERGAMMAGLOBULINEMIA POLICLONAL,Neoplasias benignas / Enf. de la sangre,1
438,H718,NO REPORTADO,Enfermedades del ojo y del oído,1
439,D830,ANESTESICO,Neoplasias benignas / Enf. de la sangre,1
440,I201,ANGINA DE PECHO CON ESPASMO DOCUMENTADO,Enfermedades del sistema circulatorio,1
441,T457,"ENVENENAMIENTO POR AGENTES PRINCIPALMENTE SISTEMICOS Y HEMATOLOGICOS, NO CLASIFICADOS EN OTRA PARTE: ANTAGONISTAS DE ANTICOAGULANTES, VITAMINA K Y OTROS COAGULANTES",Traumatismos y envenenamientos,1
442,Z246,NECESIDAD DE INMUNIZACION CONTRA LA HEPATITIS VIRAL,Factores que influyen en el estado de salud,1
443,I443,OTROS TIPOS DE BLOQUEO AURICULOVENTRICULAR Y LOS NO ESPECIFICADOS,Enfermedades del sistema circulatorio,1
444,E038,OTROS HIPOTIROIDISMOS ESPECIFICADOS,"Enf. endocrinas, nutricionales y metabólicas",1
445,G407,"PEQUENO MAL, NO ESPECIFICADO (SIN ATAQUE DE GRAN MAL)",Enfermedades del sistema nervioso,1
446,NO REPORTADO,TERAPIA DE OXIGENO,Enfermedades del sistema genitourinario,1
447,NO REPORTADO,DEFICIENCIA DE FIBRINOGENNO REPORTADO CONGENITA,Enfermedades del sistema genitourinario,1
448,O655,TRABAJO DE PARTO OBSTRUIDO DEBIDO A ANOMALIAS DE LOS ORGANOS PELVIANOS MATERNOS,"Embarazo, parto y puerperio",1
449,C169,"TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA",Neoplasias malignas (oncológico),1
450,NO REPORTADO,QUILOMICRONEMIA FAMILIAR EN EL ADULTO,Enfermedades del sistema genitourinario,1
451,NO REPORTADO,LIPODISTROFIA POR DEFICIENCIA DE LEPTINA,Enfermedades del sistema genitourinario,1
452,I471,TAQUICARDIA SUPRAVENTRICULAR,Enfermedades del sistema circulatorio,1
453,NO REPORTADO,LINFOMA NO HODGKIN DE CELULAS GRANDES (DIFUSO),Enfermedades del sistema genitourinario,1
454,NO REPORTADO,SINDROME DE BRUGADA,Enfermedades del sistema genitourinario,1
455,NO REPORTADO,ANTIALERGICOS,Enfermedades del sistema genitourinario,1
456,N419,"ENFERMEDAD INFLAMATORIA DE LA PROSTATA, NO ESPECIFICADA",Enfermedades del sistema genitourinario,1
457,G710,EPILEPSIA REFRACTARIA,Enfermedades del sistema nervioso,1
458,B340,"INFECCION DEBIDA A ADENOVIRUS, SIN OTRA ESPECIFICACION",Enfermedades infecciosas y parasitarias,1
459,E249,"SINDROME DE CUSHING, NO ESPECIFICADO","Enf. endocrinas, nutricionales y metabólicas",1
460,C189,"TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA",Neoplasias malignas (oncológico),1
461,C474,TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS DEL ABDOMEN,Neoplasias malignas (oncológico),1
462,NO REPORTADO,ENFERMEDAD DE MELAS,Enfermedades del sistema genitourinario,1
463,T780,CHOQUE ANAFILACTICO DEBIDO A REACCION ADVERSA A ALIMENTOS,Traumatismos y envenenamientos,1
464,G710,NO REPORTADO,Enfermedades del sistema nervioso,1
465,B04X,VIRUELA DE LOS MONOS,Enfermedades infecciosas y parasitarias,1
466,Q818,OTRAS EPIDERMOLISIS BULLOSAS,Malformaciones congénitas,1
467,NO REPORTADO,NEUTRALIZACION DE LA ACCION ANTICOAGULANTE DE LA HEPARINA,Enfermedades del sistema genitourinario,1
468,NO REPORTADO,ANESTESICO GENERAL,Enfermedades del sistema genitourinario,1
469,NO REPORTADO,"ARTRITIS REUMATOIDE, NO ESPECIFICADA",Enfermedades del sistema genitourinario,1
470,NO REPORTADO,DEFICIENCIA DE FIBRINOGENO CONGENITA,Enfermedades del sistema genitourinario,1
471,NO REPORTADO,XANTOMATOSIS CEREBROTENDINOSA,Enfermedades del sistema genitourinario,1
472,E669,"OBESIDAD, NO ESPECIFICADA","Enf. endocrinas, nutricionales y metabólicas",1
473,NO REPORTADO,AMILOIDOSIS HEREDOFAMILIAR NEUROPATICA,Enfermedades del sistema genitourinario,1
474,NO REPORTADO,ANTIVIRALES,Enfermedades del sistema genitourinario,1
475,NO REPORTADO,"DIAGNOSTICO DE TUMORES NEUROENDOCRINOS, GASTRO-ENETERO-PANCREATICOS, PARAGANGLIOMAS ENTRE OTROS",Enfermedades del sistema genitourinario,1
476,R509,"FIEBRE, NO ESPECIFICADA",Síntomas y signos no clasificados,1
477,E740,ENFERMEDAD DEL ALMACENAMIENTO DE GLUCOGENO,"Enf. endocrinas, nutricionales y metabólicas",1
478,J450,ASMA PREDOMINANTEMENTE ALERGICA,Enfermedades del sistema respiratorio,1
479,NO REPORTADO,ANTITROMBOTICO - ANTICOAGULANTE,Enfermedades del sistema genitourinario,1
480,NO REPORTADO,TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS DEL ABDOMEN,Enfermedades del sistema genitourinario,1
481,NO REPORTADO,ANTIVENENO ALACRAN,Enfermedades del sistema genitourinario,1
482,NO REPORTADO,TERAPIA DE SUSTITUCION EN PACIENTES QUE NO TIENEN CANTIDADES SUFICIENTES DE ANTICUERPOS PROPIOS,Enfermedades del sistema genitourinario,1
483,C729,"TUMOR MALIGNO DEL SISTEMA NERVIOSO CENTRAL, SIN OTRA ESPECIFICACION",Neoplasias malignas (oncológico),1
484,B559,"LEISHMANIASIS, NO ESPECIFICADA",Enfermedades infecciosas y parasitarias,1
485,NO REPORTADO,ANTIDOTO DE LA HEPARINA,Enfermedades del sistema genitourinario,1
